measure_name,sector,program,market,electric_utility,gas_utility,baseline_condition,efficient_condition,complementary_condition,building_type,electric_end_use,measure_life_(yrs),incremental_cost_(usd),annual_oandm_savings_(usd),annual_energy_saved_(kwh),water_savings_(gallons),energy_impact_1,energy_impact_1_fuel_type,energy_impact_1_units,energy_impact_2,energy_impact_2_fuel_type,energy_impact_2_units,energy_impact_3,energy_impact_3_fuel_type,energy_impact_3_units,energy_impact_1_end_use,energy_impact_2_end_use,energy_impact_3_end_use,measure_incremental_cost,demand_ratio,deferred_replacement_credit_value,measure_water_savings,measure_electric_energy_savings,measure_natural_gas_savings,measure_fuel_oil_savings,measure_propane_savings,measure_gasoline_savings,measure_diesel_savings,electric_energy_savings_value,electric_demand_savings_value,natural_gas_savings_value,fuel_oil_savings_value,propane_savings_value,diesel_transportation_savings_value,gasoline_transportation_savings_value,other_fuel_savings_value,annual_oandm_savings,o_and_m_savings_value,water_savings_value,electric_incentive_pct,natural_gas_incentive_pct,nonutility_incentive_pct,electric_utility_incentive_value,natural_gas_utility_incentive_value,nonutility_incentive_value,total_incentive_value,electric_utility_nonmeasure_program_cost,natural_gas_utility_nonmeasure_program_costs,nonutility_nonmeasure_program_costs,risk_discount_value,electric_carbon_savings_value,electric_n2o_savings_value,electric_ch4_savings_value,natural_gas_carbon_savings_value,fuel_oil_carbon_savings_value,propane_carbon_savings_value,diesel_transportation_carbon_savings_value,gasoline_transportation_carbon_savings_value,natural_gas_n2o_savings_value,fuel_oil_n2o_savings_value,propane_n2o_savings_value,diesel_transportation_n2o_savings_value,gasoline_transportation_n2o_savings_value,natural_gas_ch4_savings_value,fuel_oil_ch4_savings_value,propane_ch4_savings_value,diesel_transportation_ch4_savings_value,gasoline_transportation_ch4_savings_value,end_use_fuel_externalities,other_nonresource_benefits,electric_customer_bill_savings,natural_gas_customer_bill_savings,heating_oil_customer_bill_savings,EUCT_cost,EUCT_benefit,EUCT_BCR,GUCT_cost,GUCT_benefit,GUCT_BCR,EGUCT_cost,EGUCT_benefit,EGUCT_BCR,TRC_cost,TRC_benefit,TRC_BCR,SCT_cost,SCT_benefit,SCT_BCR,RIM_cost,RIM_benefit,RIM_BCR,PCT_cost,PCT_benefit,PCT_BCR
furnace_oil_existing_residential_to_furnace_oil_efficient_residential,residential,NLIRNC,Ret_ER,test_utility_1,test_utility_1,furnace_oil_existing_residential,furnace_oil_efficient_residential,,multi_family,,10,700,0,715,0,180.0,natural_gas,therms,67.5,electricity,kWh,,,,,,,700,0.03424657534246575,1,0,67.5,180.0,0.0,0.0,0.0,0.0,32.34173656861666,155.19126086581983,7864.447584133459,0,0,0,0,0,0,0.0,0,0.5,0.5,0.5,350.0,350.0,350.0,1050.0,70.0,210.0,210.0,14.02,45.534816105203184,0.09667841865456976,2.4353286342564213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.066823158114175,0.21662146808146338,0.0,0.0,0.0,420.0,187.53299743443648,0.4465071367486583,560.0,7864.447584133459,14.04365640023832,980.0,8051.980581567895,8.216306715885606,1540.0,8067.217203035977,5.238452729244141,1540.0,8163.350849352206,5.30087717490403,980.0,8611.980581567896,8.78773528731418,700,9103.197203035978,13.004567432908539
furnace_oil_existing_residential_to_furnace_oil_efficient_residential,residential,LIRNC,Ret_ER,test_utility_1,test_utility_1,furnace_oil_existing_residential,furnace_oil_efficient_residential,,multi_family_li,,10,700,0,715,0,180.0,natural_gas,therms,67.5,electricity,kWh,,,,,,,700,0.03424657534246575,1,0,67.5,180.0,0.0,0.0,0.0,0.0,32.34173656861666,155.19126086581983,7864.447584133459,0,0,0,0,0,0,0.0,0,0.5,0.5,0.5,350.0,350.0,350.0,1050.0,70.0,210.0,210.0,14.02,45.534816105203184,0.09667841865456976,2.4353286342564213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.066823158114175,0.21662146808146338,0.0,0.0,0.0,420.0,187.53299743443648,0.4465071367486583,560.0,7864.447584133459,14.04365640023832,980.0,8051.980581567895,8.216306715885606,1540.0,8067.217203035977,5.238452729244141,1540.0,8163.350849352206,5.30087717490403,980.0,8611.980581567896,8.78773528731418,700,9103.197203035978,13.004567432908539
furnace_oil_existing_residential_to_furnace_oil_efficient_residential,residential,NLIRNC,Ret_ER,test_utility_1,test_utility_1,furnace_oil_existing_residential,furnace_oil_efficient_residential,,single_family,,10,700,0,715,0,80.0,natural_gas,therms,30.0,electricity,kWh,,,,,,,700,0.03424657534246575,1,0,30.0,80.0,0.0,0.0,0.0,0.0,14.374105141607405,68.97389371814214,3495.310037392648,0,0,0,0,0,0,0.0,0,0.5,0.5,0.5,350.0,350.0,350.0,1050.0,70.0,210.0,210.0,14.02,20.23769604675697,0.04296818606869767,1.082368281891743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.36303251471741,0.21662146808146338,0.0,0.0,0.0,420.0,83.34799885974954,0.198447616332737,560.0,3495.310037392648,6.241625066772586,980.0,3578.658036252398,3.6516918737269366,1540.0,3593.8946577204792,2.333697829688623,1540.0,3636.620722749914,2.3614420277596846,980.0,4138.658036252398,4.223120445155509,700,4629.874657720479,6.614106653886399
furnace_oil_existing_residential_to_furnace_oil_efficient_residential,residential,LIRNC,Ret_ER,test_utility_1,test_utility_1,furnace_oil_existing_residential,furnace_oil_efficient_residential,,single_family_li,,10,700,0,715,0,80.0,natural_gas,therms,30.0,electricity,kWh,,,,,,,700,0.03424657534246575,1,0,30.0,80.0,0.0,0.0,0.0,0.0,14.374105141607405,68.97389371814214,3495.310037392648,0,0,0,0,0,0,0.0,0,0.5,0.5,0.5,350.0,350.0,350.0,1050.0,70.0,210.0,210.0,14.02,20.23769604675697,0.04296818606869767,1.082368281891743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.36303251471741,0.21662146808146338,0.0,0.0,0.0,420.0,83.34799885974954,0.198447616332737,560.0,3495.310037392648,6.241625066772586,980.0,3578.658036252398,3.6516918737269366,1540.0,3593.8946577204792,2.333697829688623,1540.0,3636.620722749914,2.3614420277596846,980.0,4138.658036252398,4.223120445155509,700,4629.874657720479,6.614106653886399
furnace_oil_baseline_residential_to_furnace_oil_efficient_residential,residential,NLIRNC,NC,test_utility_1,test_utility_1,furnace_oil_baseline_residential,furnace_oil_efficient_residential,,multi_family,,10,700,0,715,0,180.0,natural_gas,therms,67.5,electricity,kWh,,,,,,,700,0.03424657534246575,1,0,67.5,180.0,0.0,0.0,0.0,0.0,32.34173656861666,155.19126086581983,7864.447584133459,0,0,0,0,0,0,0.0,0,0.5,0.5,0.5,350.0,350.0,350.0,1050.0,70.0,210.0,210.0,14.02,45.534816105203184,0.09667841865456976,2.4353286342564213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.066823158114175,0.21662146808146338,0.0,0.0,0.0,420.0,187.53299743443648,0.4465071367486583,560.0,7864.447584133459,14.04365640023832,980.0,8051.980581567895,8.216306715885606,1540.0,8067.217203035977,5.238452729244141,1540.0,8163.350849352206,5.30087717490403,980.0,8611.980581567896,8.78773528731418,700,9103.197203035978,13.004567432908539
furnace_oil_baseline_residential_to_furnace_oil_efficient_residential,residential,LIRNC,NC,test_utility_1,test_utility_1,furnace_oil_baseline_residential,furnace_oil_efficient_residential,,multi_family_li,,10,700,0,715,0,180.0,natural_gas,therms,67.5,electricity,kWh,,,,,,,700,0.03424657534246575,1,0,67.5,180.0,0.0,0.0,0.0,0.0,32.34173656861666,155.19126086581983,7864.447584133459,0,0,0,0,0,0,0.0,0,0.5,0.5,0.5,350.0,350.0,350.0,1050.0,70.0,210.0,210.0,14.02,45.534816105203184,0.09667841865456976,2.4353286342564213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.066823158114175,0.21662146808146338,0.0,0.0,0.0,420.0,187.53299743443648,0.4465071367486583,560.0,7864.447584133459,14.04365640023832,980.0,8051.980581567895,8.216306715885606,1540.0,8067.217203035977,5.238452729244141,1540.0,8163.350849352206,5.30087717490403,980.0,8611.980581567896,8.78773528731418,700,9103.197203035978,13.004567432908539
furnace_oil_baseline_residential_to_furnace_oil_efficient_residential,residential,NLIRNC,NC,test_utility_1,test_utility_1,furnace_oil_baseline_residential,furnace_oil_efficient_residential,,single_family,,10,700,0,715,0,80.0,natural_gas,therms,30.0,electricity,kWh,,,,,,,700,0.03424657534246575,1,0,30.0,80.0,0.0,0.0,0.0,0.0,14.374105141607405,68.97389371814214,3495.310037392648,0,0,0,0,0,0,0.0,0,0.5,0.5,0.5,350.0,350.0,350.0,1050.0,70.0,210.0,210.0,14.02,20.23769604675697,0.04296818606869767,1.082368281891743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.36303251471741,0.21662146808146338,0.0,0.0,0.0,420.0,83.34799885974954,0.198447616332737,560.0,3495.310037392648,6.241625066772586,980.0,3578.658036252398,3.6516918737269366,1540.0,3593.8946577204792,2.333697829688623,1540.0,3636.620722749914,2.3614420277596846,980.0,4138.658036252398,4.223120445155509,700,4629.874657720479,6.614106653886399
furnace_oil_baseline_residential_to_furnace_oil_efficient_residential,residential,LIRNC,NC,test_utility_1,test_utility_1,furnace_oil_baseline_residential,furnace_oil_efficient_residential,,single_family_li,,10,700,0,715,0,80.0,natural_gas,therms,30.0,electricity,kWh,,,,,,,700,0.03424657534246575,1,0,30.0,80.0,0.0,0.0,0.0,0.0,14.374105141607405,68.97389371814214,3495.310037392648,0,0,0,0,0,0,0.0,0,0.5,0.5,0.5,350.0,350.0,350.0,1050.0,70.0,210.0,210.0,14.02,20.23769604675697,0.04296818606869767,1.082368281891743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.36303251471741,0.21662146808146338,0.0,0.0,0.0,420.0,83.34799885974954,0.198447616332737,560.0,3495.310037392648,6.241625066772586,980.0,3578.658036252398,3.6516918737269366,1540.0,3593.8946577204792,2.333697829688623,1540.0,3636.620722749914,2.3614420277596846,980.0,4138.658036252398,4.223120445155509,700,4629.874657720479,6.614106653886399
furnace_oil_baseline_residential_to_furnace_oil_efficient_residential,residential,NLIRROB,ROB,test_utility_1,test_utility_1,furnace_oil_baseline_residential,furnace_oil_efficient_residential,,multi_family,,10,700,0,715,0,180.0,natural_gas,therms,67.5,electricity,kWh,,,,,,,700,0.03424657534246575,1,0,67.5,180.0,0.0,0.0,0.0,0.0,32.34173656861666,155.19126086581983,7864.447584133459,0,0,0,0,0,0,0.0,0,0.5,0.5,0.5,350.0,350.0,350.0,1050.0,70.0,210.0,210.0,14.02,45.534816105203184,0.09667841865456976,2.4353286342564213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.066823158114175,0.21662146808146338,0.0,0.0,0.0,420.0,187.53299743443648,0.4465071367486583,560.0,7864.447584133459,14.04365640023832,980.0,8051.980581567895,8.216306715885606,1540.0,8067.217203035977,5.238452729244141,1540.0,8163.350849352206,5.30087717490403,980.0,8611.980581567896,8.78773528731418,700,9103.197203035978,13.004567432908539
furnace_oil_baseline_residential_to_furnace_oil_efficient_residential,residential,LIRROB,ROB,test_utility_1,test_utility_1,furnace_oil_baseline_residential,furnace_oil_efficient_residential,,multi_family_li,,10,700,0,715,0,180.0,natural_gas,therms,67.5,electricity,kWh,,,,,,,700,0.03424657534246575,1,0,67.5,180.0,0.0,0.0,0.0,0.0,32.34173656861666,155.19126086581983,7864.447584133459,0,0,0,0,0,0,0.0,0,0.5,0.5,0.5,350.0,350.0,350.0,1050.0,70.0,210.0,210.0,14.02,45.534816105203184,0.09667841865456976,2.4353286342564213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.066823158114175,0.21662146808146338,0.0,0.0,0.0,420.0,187.53299743443648,0.4465071367486583,560.0,7864.447584133459,14.04365640023832,980.0,8051.980581567895,8.216306715885606,1540.0,8067.217203035977,5.238452729244141,1540.0,8163.350849352206,5.30087717490403,980.0,8611.980581567896,8.78773528731418,700,9103.197203035978,13.004567432908539
