year,summer_on-peak_usdperkwh,summer_off-peak_usdperkwh,winter_on-peak_usdperkwh,winter_off-peak_usdperkwh,shoulder_on-peak_usdperkwh,shoulder_off-peak_usdperkwh,summer_gener_capacity_usdperkwh,winter_gener_capacity_usdperkwh,summer_td_usdperkwh,winter_td_usdperkwh,oil_residential_usdpermmbtu,natural_gas_residential_usdpermmbtu,base_year
2026,0.06,0.04,0.06,0.04,0.04,0.04,89.69,18.6,0.0,0.0,24.68,5.62,2026
2027,0.058252427184466014,0.04854368932038835,0.058252427184466014,0.04854368932038835,0.038834951456310676,0.038834951456310676,48.15533980582524,17.78640776699029,0.0,0.0,24.271844660194173,4.592233009708738,2026
2028,0.056555754548025264,0.047129795456687724,0.056555754548025264,0.047129795456687724,0.03770383636535018,0.03770383636535018,39.92836271090584,17.258931096239042,0.0,0.0,24.1021773965501,4.439626732019983,2026
2029,0.054908499561189573,0.04575708296765798,0.054908499561189573,0.04575708296765798,0.036605666374126385,0.036605666374126385,57.84610428771322,16.74709236616282,0.0,0.0,23.96756005845925,4.200500216431002,2026
2030,0.06219409335409822,0.04442435239578444,0.06219409335409822,0.04442435239578444,0.03553948191662755,0.03553948191662755,51.13242960754789,16.250428106377946,0.0,0.0,23.882531847973713,4.460204980536758,2026
2031,0.06038261490689148,0.0431304392192082,0.06038261490689148,0.0431304392192082,0.03450435137536656,0.03450435137536656,52.55875323252711,15.7857407542302,0.0,0.0,23.273185002684745,4.330296097608502,2026
2032,0.05024905540101925,0.04187421283418272,0.05024905540101925,0.04187421283418272,0.033499370267346174,0.033499370267346174,62.19158090132817,15.317587054744036,0.0,0.0,22.46970260682244,4.195796125985107,2026
2033,0.048785490680601215,0.04065457556716768,0.048785490680601215,0.04065457556716768,0.03252366045373414,0.03252366045373414,54.753582373861434,14.863312827356506,0.0,0.0,22.16487459921982,4.073588471830202,2026
2034,0.04736455405883613,0.03947046171569678,0.04736455405883613,0.03947046171569678,0.03157636937255742,0.03157636937255742,59.024128449652956,14.4225067109156,0.0,0.0,21.65349529723125,3.9470461715696774,2026
2035,0.0459850039406176,0.03832083661718134,0.0459850039406176,0.03832083661718134,0.030656669293745067,0.030656669293745067,62.432307016711825,13.987105365271187,0.0,0.0,21.191422649301277,3.8320836617181335,2026
2036,0.04464563489380349,0.03720469574483625,0.04464563489380349,0.03720469574483625,0.029763756595869,0.029763756595869,63.463770001541675,13.57971394686523,0.0,0.0,20.603960503490313,3.7204695744836247,2026
2037,0.04334527659592572,0.036121063829938106,0.04334527659592572,0.036121063829938106,0.02889685106395048,0.02889685106395048,62.97346268111409,13.17696408516142,0.0,0.0,20.162777829871448,3.604882170227823,2026
2038,0.04208279281157837,0.03506899400964865,0.04208279281157837,0.03506899400964865,0.028055195207718917,0.028055195207718917,60.88678739955198,12.786155215917896,0.0,0.0,19.750857426234116,3.499885602162935,2026
2039,0.04085708039959065,0.03404756699965888,0.04085708039959065,0.03404756699965888,0.0272380535997271,0.0272380535997271,58.85462431561034,12.406933414675693,0.0,0.0,19.270922921806925,3.397947186565956,2026
2040,0.046278246407303325,0.033055890290930943,0.046278246407303325,0.033055890290930943,0.026444712232744756,0.026444712232744756,56.90240954680852,12.045566422015234,0.0,0.0,18.881524534179754,3.298977851034908,2026
2041,0.04493033631777022,0.03209309736983587,0.04493033631777022,0.03209309736983587,0.03209309736983587,0.03209309736983587,55.026824750320586,11.694724681568191,0.0,0.0,18.588321996608936,3.170798020139784,2026
2042,0.04362168574540798,0.03739001635320684,0.049853355137609114,0.0311583469610057,0.0311583469610057,0.0311583469610057,53.30569998088855,11.347869963198276,0.0,0.0,18.134157931305317,3.078444679747363,2026
2043,0.048401315667581664,0.03630098675068625,0.048401315667581664,0.03630098675068625,0.030250822292238543,0.030250822292238543,51.63815365285119,11.011299314374828,0.0,0.0,17.890336303629873,2.988781242473168,2026
2044,0.046991568609302585,0.03524367645697694,0.046991568609302585,0.03524367645697694,0.029369730380814116,0.029369730380814116,50.03427267675493,10.690581858616337,0.0,0.0,17.5219811451937,2.901729361624435,2026
2045,0.04562288214495397,0.03421716160871547,0.04562288214495397,0.03421716160871547,0.02851430134059623,0.02851430134059623,48.49142085981795,10.379205687977027,0.0,0.0,17.074363642749024,2.811510112182788,2026
