,competition_group,electric_utility,gas_utility,building_type,time,total_stock,total_below_baseline_stock,total_baseline_stock,total_efficient_stock,total_top10_stock,adoption_flow_below_baseline_rob,adoption_flow_baseline_rob,adoption_flow_efficient_rob,adoption_flow_top10_rob,adoption_flow_below_baseline_ret_er,adoption_flow_baseline_ret_er,adoption_flow_efficient_ret_er,adoption_flow_top10_ret_er,adoption_flow_below_baseline_nc,adoption_flow_baseline_nc,adoption_flow_efficient_nc,adoption_flow_top10_nc,adoption_flow_below_baseline_demo,adoption_flow_baseline_demo,adoption_flow_efficient_demo,adoption_flow_top10_demo,adoption_flow_below_baseline_reno,adoption_flow_baseline_reno,adoption_flow_efficient_reno,adoption_flow_top10_reno
0,refrigeration,test_utility_1,test_utility_1,single_family,0,125000.0,0.0,25000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,refrigeration,test_utility_1,test_utility_1,single_family,1,125000.0,0.0,35000.0,90000.0,0.0,0.0,12500.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,refrigeration,test_utility_1,test_utility_1,single_family,2,125000.0,0.0,45000.0,80000.0,0.0,0.0,11250.0,0.0,0.0,0.0,3125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,refrigeration,test_utility_1,test_utility_1,single_family,3,125000.0,0.0,55000.0,70000.0,0.0,0.0,10625.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,refrigeration,test_utility_1,test_utility_1,single_family,4,125000.0,0.0,65000.0,60000.0,0.0,0.0,10312.5,0.0,0.0,0.0,2343.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,refrigeration,test_utility_1,test_utility_1,single_family,5,125000.0,0.0,75000.0,50000.0,0.0,0.0,10156.25,0.0,0.0,0.0,2343.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,refrigeration,test_utility_1,test_utility_1,single_family,6,125000.0,0.0,85000.0,40000.0,0.0,0.0,10156.25,0.0,0.0,0.0,2343.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,refrigeration,test_utility_1,test_utility_1,single_family,7,125000.0,0.0,95000.0,30000.0,0.0,0.0,10156.25,0.0,0.0,0.0,9843.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,refrigeration,test_utility_1,test_utility_1,single_family,8,125000.0,0.0,105000.0,20000.0,0.0,0.0,10156.25,0.0,0.0,0.0,12031.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,refrigeration,test_utility_1,test_utility_1,single_family,9,125000.0,0.0,115000.0,10000.0,0.0,0.0,10156.25,0.0,0.0,0.0,12500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,refrigeration,test_utility_1,test_utility_1,single_family,10,125000.0,0.0,125000.0,0.0,0.0,0.0,10156.25,0.0,0.0,0.0,12500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,refrigeration,test_utility_1,test_utility_1,single_family,11,125000.0,0.0,125000.0,0.0,0.0,0.0,1093.75,0.0,0.0,0.0,11953.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,refrigeration,test_utility_1,test_utility_1,single_family,12,125000.0,0.0,125000.0,0.0,0.0,0.0,898.4375,0.0,0.0,0.0,11777.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,refrigeration,test_utility_1,test_utility_1,single_family,13,125000.0,0.0,125000.0,0.0,0.0,0.0,820.3125,0.0,0.0,0.0,15478.515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,refrigeration,test_utility_1,test_utility_1,single_family,14,125000.0,0.0,125000.0,0.0,0.0,0.0,791.015625,0.0,0.0,0.0,18437.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,refrigeration,test_utility_1,test_utility_1,single_family,15,125000.0,0.0,125000.0,0.0,0.0,0.0,781.25,0.0,0.0,0.0,20156.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,refrigeration,test_utility_1,test_utility_1,single_family,16,125000.0,0.0,125000.0,0.0,0.0,0.0,781.25,0.0,0.0,0.0,21015.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
