,competition_group,electric_utility,gas_utility,building_type,time,total_stock,total_below_baseline_stock,total_baseline_stock,total_efficient_stock,total_top10_stock,adoption_flow_below_baseline_rob,adoption_flow_baseline_rob,adoption_flow_efficient_rob,adoption_flow_top10_rob,adoption_flow_below_baseline_ret_er,adoption_flow_baseline_ret_er,adoption_flow_efficient_ret_er,adoption_flow_top10_ret_er,adoption_flow_below_baseline_nc,adoption_flow_baseline_nc,adoption_flow_efficient_nc,adoption_flow_top10_nc,adoption_flow_below_baseline_demo,adoption_flow_baseline_demo,adoption_flow_efficient_demo,adoption_flow_top10_demo,adoption_flow_below_baseline_reno,adoption_flow_baseline_reno,adoption_flow_efficient_reno,adoption_flow_top10_reno
0,refrigeration,test_utility_1,test_utility_1,single_family,0,125000.0,0.0,25000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,refrigeration,test_utility_1,test_utility_1,single_family,1,125000.0,0.0,17500.0,98834.12167825544,8665.878321744553,0.0,0.0,6411.110319364247,6088.889680635753,0.0,0.0,2423.0113588912,2576.9886411088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,refrigeration,test_utility_1,test_utility_1,single_family,2,125000.0,0.0,13125.0,96118.50306499028,15756.49693500973,0.0,0.0,5769.999287427822,5480.000712572178,0.0,0.0,1514.382099307,1610.617900693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,refrigeration,test_utility_1,test_utility_1,single_family,3,125000.0,0.0,10000.0,92779.45251589548,22220.54748410452,0.0,0.0,5449.44377145961,5175.55622854039,0.0,0.0,1211.5056794456,1288.4943205544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,refrigeration,test_utility_1,test_utility_1,single_family,4,125000.0,0.0,7343.75,89204.40510385123,28451.844896148767,0.0,0.0,5289.166013475504,5023.333986524496,0.0,0.0,1135.78657448025,1207.96342551975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,refrigeration,test_utility_1,test_utility_1,single_family,5,125000.0,0.0,4843.75,85549.21881281494,34607.031187185064,0.0,0.0,5209.02713448345,4947.22286551655,0.0,0.0,1135.78657448025,1207.96342551975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,refrigeration,test_utility_1,test_utility_1,single_family,6,125000.0,0.0,2343.75,81894.03252177863,40762.21747822136,0.0,0.0,5209.02713448345,4947.22286551655,0.0,0.0,1135.78657448025,1207.96342551975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,refrigeration,test_utility_1,test_utility_1,single_family,7,125000.0,0.0,1093.75,77633.09339101953,46273.15660898046,0.0,0.0,5209.02713448345,4947.22286551655,0.0,0.0,530.03373475745,563.71626524255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,refrigeration,test_utility_1,test_utility_1,single_family,8,125000.0,0.0,468.75,73069.27784039904,51461.97215960096,0.0,0.0,5209.02713448345,4947.22286551655,0.0,0.0,227.15731489605,241.59268510395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,refrigeration,test_utility_1,test_utility_1,single_family,9,125000.00000000001,0.0,156.25,68354.02407984785,56489.72592015217,0.0,0.0,5209.02713448345,4947.22286551655,0.0,0.0,75.71910496535,80.53089503465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
