,competition_group,electric_utility,gas_utility,building_type,time,total_stock,total_below_baseline_stock,total_baseline_stock,total_efficient_stock,total_top10_stock,adoption_flow_below_baseline_rob,adoption_flow_baseline_rob,adoption_flow_efficient_rob,adoption_flow_top10_rob,adoption_flow_below_baseline_ret_er,adoption_flow_baseline_ret_er,adoption_flow_efficient_ret_er,adoption_flow_top10_ret_er,adoption_flow_below_baseline_nc,adoption_flow_baseline_nc,adoption_flow_efficient_nc,adoption_flow_top10_nc,adoption_flow_below_baseline_demo,adoption_flow_baseline_demo,adoption_flow_efficient_demo,adoption_flow_top10_demo,adoption_flow_below_baseline_reno,adoption_flow_baseline_reno,adoption_flow_efficient_reno,adoption_flow_top10_reno
0,refrigeration,test_utility_1,test_utility_1,single_family,0,132500.0,10000.0,12500.0,60000.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,refrigeration,test_utility_1,test_utility_1,single_family,1,132500.0,8550.0,10687.5,51300.0,61962.5,0.0,0.0,0.0,13250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-450.0,-562.5,-2700.0,3712.5
2,refrigeration,test_utility_1,test_utility_1,single_family,2,132500.0,7220.0,9025.0,43320.0,72935.0,0.0,0.0,0.0,12587.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-380.0,-475.0,-2280.0,3135.0
3,refrigeration,test_utility_1,test_utility_1,single_family,3,132500.0,6001.625,7502.03125,36009.75,82986.59375,0.0,0.0,0.0,11958.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-315.875,-394.84375,-1895.25,2605.96875
4,refrigeration,test_utility_1,test_utility_1,single_family,4,132500.0,4887.037499999999,6108.796875,29322.225,92181.94062499999,0.0,0.0,0.0,11360.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-257.21250000000003,-321.515625,-1543.275,2122.003125
5,refrigeration,test_utility_1,test_utility_1,single_family,5,132499.99999999997,3868.904687499999,4836.130859375,23213.428124999995,100581.53632812499,0.0,0.0,0.0,10792.207812499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-203.62656249999998,-254.533203125,-1221.7593750000003,1679.9191406250002
6,refrigeration,test_utility_1,test_utility_1,single_family,6,132500.0,2940.367562499999,3675.4594531249995,17642.205374999998,108241.96760937499,0.0,0.0,0.0,10252.597421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-154.75618749999998,-193.445234375,-928.5371249999998,1276.7385468749999
7,refrigeration,test_utility_1,test_utility_1,single_family,7,132499.99999999997,2095.0118882812494,2618.7648603515618,12570.071329687496,115216.15192167967,0.0,0.0,0.0,9739.96755078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.26378359374996,-137.82972949218748,-661.5827015624999,909.676214648437
8,refrigeration,test_utility_1,test_utility_1,single_family,8,132499.99999999997,1326.8408625781244,1658.5510782226559,7961.045175468747,121553.56288373044,0.0,0.0,0.0,9252.969173242185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.83372960937497,-87.29216201171874,-419.0023776562499,576.1282692773457
9,refrigeration,test_utility_1,test_utility_1,single_family,9,132499.99999999997,630.2494097246091,787.8117621557615,3781.496458347655,127300.44236977193,0.0,0.0,0.0,8790.320714580075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.17102156445312,-41.4637769555664,-199.02612938671874,273.66092790673883
10,refrigeration,test_utility_1,test_utility_1,single_family,10,132499.99999999997,0.0,0.0,0.0,132499.99999999997,0.0,0.0,0.0,8350.804678851073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,refrigeration,test_utility_1,test_utility_1,single_family,11,132499.99999999997,0.0,0.0,0.0,132499.99999999997,0.0,0.0,0.0,12108.666784334053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,refrigeration,test_utility_1,test_utility_1,single_family,12,132499.99999999994,0.0,0.0,0.0,132499.99999999994,0.0,0.0,0.0,11712.003562088626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,refrigeration,test_utility_1,test_utility_1,single_family,13,132499.99999999994,0.0,0.0,0.0,132499.99999999994,0.0,0.0,0.0,11335.173500955472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,refrigeration,test_utility_1,test_utility_1,single_family,14,132499.99999999994,0.0,0.0,0.0,132499.99999999994,0.0,0.0,0.0,10977.184942878976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,refrigeration,test_utility_1,test_utility_1,single_family,15,132499.99999999994,0.0,0.0,0.0,132499.99999999994,0.0,0.0,0.0,10637.095812706302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,refrigeration,test_utility_1,test_utility_1,single_family,16,132499.99999999994,0.0,0.0,0.0,132499.99999999994,0.0,0.0,0.0,10314.011139042264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,refrigeration,test_utility_1,test_utility_1,single_family,17,132499.99999999994,0.0,0.0,0.0,132499.99999999994,0.0,0.0,0.0,10007.080699061427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,refrigeration,test_utility_1,test_utility_1,single_family,18,132499.99999999994,0.0,0.0,0.0,132499.99999999994,0.0,0.0,0.0,9715.496781079632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,refrigeration,test_utility_1,test_utility_1,single_family,19,132499.99999999994,0.0,0.0,0.0,132499.99999999994,0.0,0.0,0.0,9438.492058996926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,refrigeration,test_utility_1,test_utility_1,multifamily,0,79500.0,6000.0,7500.0,36000.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,refrigeration,test_utility_1,test_utility_1,multifamily,1,79500.0,5130.0,6412.5,30780.0,37177.5,0.0,0.0,0.0,7950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-270.0,-337.5,-1620.0,2227.5
22,refrigeration,test_utility_1,test_utility_1,multifamily,2,79500.0,4332.0,5415.0,25992.0,43761.0,0.0,0.0,0.0,7552.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-228.0,-285.0,-1368.0,1881.0
23,refrigeration,test_utility_1,test_utility_1,multifamily,3,79500.0,3600.9750000000004,4501.21875,21605.850000000002,49791.956249999996,0.0,0.0,0.0,7174.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-189.525,-236.90625,-1137.15,1563.5812499999997
24,refrigeration,test_utility_1,test_utility_1,multifamily,4,79499.99999999999,2932.2225,3665.2781249999994,17593.334999999995,55309.16437499999,0.0,0.0,0.0,6816.131249999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-154.32750000000001,-192.909375,-925.965,1273.2018749999997
25,refrigeration,test_utility_1,test_utility_1,multifamily,5,79500.0,2321.3428124999996,2901.6785156249994,13928.056874999998,60348.921796875,0.0,0.0,0.0,6475.324687499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.17593749999999,-152.71992187499998,-733.0556249999997,1007.9514843750003
26,refrigeration,test_utility_1,test_utility_1,multifamily,6,79499.99999999999,1764.2205374999996,2205.2756718749997,10585.323224999998,64945.18056562499,0.0,0.0,0.0,6151.558453124999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-92.85371249999999,-116.06714062499998,-557.122275,766.0431281249998
27,refrigeration,test_utility_1,test_utility_1,multifamily,7,79499.99999999999,1257.0071329687498,1571.258916210937,7542.042797812497,69129.6911530078,0.0,0.0,0.0,5843.980530468749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.15827015625,-82.6978376953125,-396.94962093749996,545.8057287890624
28,refrigeration,test_utility_1,test_utility_1,multifamily,8,79499.99999999997,796.1045175468748,995.1306469335934,4776.627105281249,72932.13773023826,0.0,0.0,0.0,5551.781503945311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.90023776562499,-52.37529720703124,-251.40142659375,345.67696156640704
29,refrigeration,test_utility_1,test_utility_1,multifamily,9,79499.99999999999,378.1496458347655,472.68705729345686,2268.897875008593,76380.26542186317,0.0,0.0,0.0,5274.192428748045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.902612938671872,-24.87826617333984,-119.41567763203123,164.1965567440434
30,refrigeration,test_utility_1,test_utility_1,multifamily,10,79499.99999999997,0.0,0.0,0.0,79499.99999999997,0.0,0.0,0.0,5010.482807310643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,refrigeration,test_utility_1,test_utility_1,multifamily,11,79499.99999999997,0.0,0.0,0.0,79499.99999999997,0.0,0.0,0.0,7265.200070600433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,refrigeration,test_utility_1,test_utility_1,multifamily,12,79499.99999999997,0.0,0.0,0.0,79499.99999999997,0.0,0.0,0.0,7027.202137253177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,refrigeration,test_utility_1,test_utility_1,multifamily,13,79499.99999999997,0.0,0.0,0.0,79499.99999999997,0.0,0.0,0.0,6801.104100573284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,refrigeration,test_utility_1,test_utility_1,multifamily,14,79499.99999999997,0.0,0.0,0.0,79499.99999999997,0.0,0.0,0.0,6586.310965727385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
