competition_group,electric_utility,gas_utility,building_type,time,total_stock,ret_er_stock,remaining_stock,rob_stock,remaining_below_baseline_stock,remaining_baseline_stock,remaining_efficient_stock,remaining_top10_stock,ret_er_below_baseline_stock,ret_er_baseline_stock,ret_er_efficient_stock,ret_er_top10_stock,rob_below_baseline_stock,rob_baseline_stock,rob_efficient_stock,rob_top10_stock
refrigeration,test_utility_1,test_utility_1,multi_family,0,6000.0,1800.0,3600.0,600.0,720.0,900.0,1080.0,900.0,360.0,450.0,540.0,450.0,120.0,150.0,180.0,150.0
refrigeration,test_utility_1,test_utility_1,multi_family,1,6000.0,1800.0,3600.0,600.0,600.0,750.0,1500.0,750.0,355.2,444.0,556.8,444.0,117.6,147.0,188.4,147.0
refrigeration,test_utility_1,test_utility_1,multi_family,2,6000.0,1800.0,3600.0,600.0,500.0,625.0,1850.0,625.0,332.06399999999996,415.08,637.776,415.08,116.032,145.04,193.88799999999998,145.04
refrigeration,test_utility_1,test_utility_1,multi_family,3,6000.0,1800.0,3600.0000000000005,599.9999999999999,416.6666666666667,520.8333333333334,2141.666666666667,520.8333333333334,300.2818133333333,375.35226666666665,749.0136533333332,375.35226666666665,108.47423999999998,135.59279999999998,220.34015999999997,135.59279999999998
refrigeration,test_utility_1,test_utility_1,multi_family,4,6000.0,1800.0,3600.0000000000005,599.9999999999999,347.22222222222223,434.0277777777778,2384.7222222222226,434.0277777777778,265.62856248888886,332.0357031111111,870.3000312888888,332.0357031111111,98.0920590222222,122.61507377777777,256.6777934222222,122.61507377777777
refrigeration,test_utility_1,test_utility_1,multi_family,5,6000.0,1799.9999999999998,3600.0,599.9999999999999,289.35185185185185,361.6898148148149,2587.2685185185187,361.6898148148149,231.41436452977774,289.2679556622222,990.0497241457776,289.2679556622222,86.7719970797037,108.46499634962962,296.298010221037,108.46499634962962
refrigeration,test_utility_1,test_utility_1,multi_family,6,6000.0,1799.9999999999995,3600.0000000000005,599.9999999999999,241.12654320987656,301.4081790123458,2756.0570987654323,301.4081790123458,199.41602680143006,249.27003350178765,1102.0439061949944,249.27003350178765,75.59535907972739,94.49419884965926,335.416243220954,94.49419884965926
refrigeration,test_utility_1,test_utility_1,multi_family,7,6000.0,1799.9999999999998,3600.0000000000005,600.0,200.93878600823047,251.17348251028815,2896.7142489711937,251.17348251028815,170.47289471191374,213.09111838989222,1203.3448685083017,213.09111838989222,65.14256875513382,81.42821094391729,372.00100935703153,81.42821094391729
refrigeration,test_utility_1,test_utility_1,multi_family,8,6000.000000000001,1800.0,3600.000000000001,599.9999999999999,167.44898834019207,209.31123542524014,3013.9285408093283,209.31123542524014,144.8654222131554,181.08177776644425,1292.971022253956,181.08177776644425,55.68781227255849,69.60976534069812,405.0926570460452,69.60976534069812
refrigeration,test_utility_1,test_utility_1,multi_family,9,6000.0,1800.0,3600.0000000000005,600.0,139.54082361682674,174.42602952103346,3111.607117341107,174.42602952103346,122.55357390262687,153.1919673782836,1371.062491340806,153.1919673782836,47.32270458963076,59.153380737038454,434.3705339362923,59.153380737038454
refrigeration,test_utility_1,test_utility_1,multi_family,10,6000.0,1799.9999999999998,3600.0000000000005,599.9999999999999,116.28401968068896,145.3550246008612,3193.005931117589,145.3550246008612,103.325138885854,129.15642360731752,1438.3620138995109,129.15642360731752,40.03416747485811,50.04270934357264,459.88041383799657,50.04270934357264
