competition_group,electric_utility,gas_utility,building_type,time,remaining_below_baseline_stock,remaining_baseline_stock,remaining_efficient_stock,remaining_top10_stock,ret_er_below_baseline_stock,ret_er_baseline_stock,ret_er_efficient_stock,ret_er_top10_stock,rob_below_baseline_stock,rob_baseline_stock,rob_efficient_stock,rob_top10_stock
refrigeration,test_utility_1,test_utility_1,multi_family,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multi_family,1,0.0,-600.0,0.0,600.0,0.0,-24.0,0.0,24.0,0.0,-12.0,0.0,12.0
refrigeration,test_utility_1,test_utility_1,multi_family,2,0.0,-1100.0,0.0,1100.0,0.0,-139.68,0.0,139.68,0.0,-19.840000000000003,0.0,19.840000000000003
refrigeration,test_utility_1,test_utility_1,multi_family,3,0.0,-1516.6666666666665,0.0,1516.6666666666665,0.0,-298.5909333333333,0.0,298.5909333333333,0.0,-57.62880000000001,0.0,57.62880000000001
refrigeration,test_utility_1,test_utility_1,multi_family,4,0.0,-1863.8888888888891,0.0,1863.8888888888887,0.0,-471.8571875555554,0.0,471.8571875555554,0.0,-109.53970488888886,0.0,109.53970488888886
refrigeration,test_utility_1,test_utility_1,multi_family,5,0.0,-2153.240740740741,0.0,2153.2407407407404,0.0,-642.9281773511109,0.0,642.9281773511109,0.0,-166.1400146014814,0.0,166.1400146014814
refrigeration,test_utility_1,test_utility_1,multi_family,6,0.0,-2394.3672839506166,0.0,2394.3672839506166,0.0,-802.9198659928492,0.0,802.9198659928492,0.0,-222.02320460136286,0.0,222.02320460136286
refrigeration,test_utility_1,test_utility_1,multi_family,7,0.0,-2595.3060699588473,0.0,2595.3060699588473,0.0,-947.6355264404308,0.0,947.6355264404308,0.0,-274.2871562243307,0.0,274.2871562243307
refrigeration,test_utility_1,test_utility_1,multi_family,8,0.0,-2762.7550582990393,0.0,2762.7550582990393,0.0,-1075.6728889342226,0.0,1075.6728889342226,0.0,-321.5609386372074,0.0,321.5609386372074
refrigeration,test_utility_1,test_utility_1,multi_family,9,0.0,-2902.2958819158666,0.0,2902.2958819158666,0.0,-1187.2321304868651,0.0,1187.2321304868651,0.0,-363.386477051846,0.0,363.386477051846
refrigeration,test_utility_1,test_utility_1,multi_family,10,0.0,-3018.5799015965554,0.0,3018.5799015965554,0.0,-1283.3743055707296,0.0,1283.3743055707296,0.0,-399.8291626257092,0.0,399.8291626257092
refrigeration,test_utility_1,test_utility_1,multi_family,11,0.0,-3115.483251330463,0.0,3115.483251330463,0.0,-1365.567863238969,0.0,1365.567863238969,0.0,-431.2356064864383,0.0,431.2356064864383
refrigeration,test_utility_1,test_utility_1,multi_family,12,0.0,-3196.236042775386,0.0,3196.236042775386,0.0,-1435.4182125378702,0.0,1435.4182125378702,0.0,-458.0855019913966,0.0,458.0855019913966
refrigeration,test_utility_1,test_utility_1,multi_family,13,0.0,-3263.5300356461553,0.0,3263.5300356461553,0.0,-1494.512572653973,0.0,1494.512572653973,0.0,-480.9032827623709,0.0,480.9032827623709
refrigeration,test_utility_1,test_utility_1,multi_family,14,0.0,-3319.608363038463,0.0,3319.608363038463,0.0,-1544.3365534082882,0.0,1544.3365534082882,0.0,-500.20744040029786,0.0,500.20744040029786
refrigeration,test_utility_1,test_utility_1,multi_family,15,0.0,-3366.340302532052,0.0,3366.340302532052,0.0,-1586.234608733159,0.0,1586.234608733159,0.0,-516.4832741133741,0.0,516.4832741133741
refrigeration,test_utility_1,test_utility_1,multi_family,16,0.0,-3405.283585443377,0.0,3405.283585443377,0.0,-1621.3966614610058,0.0,1621.3966614610058,0.0,-530.1699721861652,0.0,530.1699721861652
refrigeration,test_utility_1,test_utility_1,multi_family,17,0.0,-3437.7363212028145,0.0,3437.7363212028145,0.0,-1650.8597497284197,0.0,1650.8597497284197,0.0,-541.6562427439285,0.0,541.6562427439285
refrigeration,test_utility_1,test_utility_1,multi_family,18,0.0,-3464.780267669012,0.0,3464.780267669012,0.0,-1675.517756689703,0.0,1675.517756689703,0.0,-551.2808515779504,0.0,551.2808515779504
refrigeration,test_utility_1,test_utility_1,multi_family,19,0.0,-3487.3168897241767,0.0,3487.3168897241767,0.0,-1696.134978982108,0.0,1696.134978982108,0.0,-559.3358005186363,0.0,559.3358005186363
refrigeration,test_utility_1,test_utility_1,single_family,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,single_family,1,0.0,-5000.0,0.0,5000.0,0.0,-200.0,0.0,200.0,0.0,-100.0,0.0,100.0
refrigeration,test_utility_1,test_utility_1,single_family,2,0.0,-9166.666666666666,0.0,9166.666666666666,0.0,-1164.0000000000005,0.0,1164.0000000000005,0.0,-165.33333333333348,0.0,165.33333333333348
refrigeration,test_utility_1,test_utility_1,single_family,3,0.0,-12638.88888888889,0.0,12638.88888888889,0.0,-2488.2577777777774,0.0,2488.2577777777774,0.0,-480.24,0.0,480.24
refrigeration,test_utility_1,test_utility_1,single_family,4,0.0,-15532.407407407405,0.0,15532.407407407405,0.0,-3932.1432296296293,0.0,3932.1432296296293,0.0,-912.830874074074,0.0,912.830874074074
