competition_group,electric_utility,gas_utility,building_type,time,remaining_below_baseline_stock,remaining_baseline_stock,remaining_efficient_stock,remaining_top10_stock,ret_er_below_baseline_stock,ret_er_baseline_stock,ret_er_efficient_stock,ret_er_top10_stock,rob_below_baseline_stock,rob_baseline_stock,rob_efficient_stock,rob_top10_stock
refrigeration,test_utility_1,test_utility_1,multi_family,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multi_family,1,0.0,-598.9999999999999,598.9999999999999,0.0,0.0,-23.960000000000036,23.960000000000036,0.0,0.0,-11.980000000000018,11.980000000000018,0.0
refrigeration,test_utility_1,test_utility_1,multi_family,2,0.0,-1098.3377970693264,1098.3377970693264,0.0,0.0,-139.161155703951,139.161155703951,0.0,0.0,-19.74717084960031,19.74717084960031,0.0
refrigeration,test_utility_1,test_utility_1,multi_family,3,0.0,-1511.4352327128004,1511.4352327128004,0.0,0.0,-297.3442335307886,297.3442335307885,0.0,0.0,-57.29645540746765,57.29645540746765,0.0
refrigeration,test_utility_1,test_utility_1,multi_family,4,0.0,-1854.116368155843,1854.116368155843,0.0,0.0,-469.24689119473226,469.2468911947321,0.0,0.0,-108.879987745318,108.87998774531795,0.0
refrigeration,test_utility_1,test_utility_1,multi_family,5,0.0,-2139.0652883011367,2139.0652883011367,0.0,0.0,-638.3960591841858,638.3960591841858,0.0,0.0,-164.94488003379033,164.94488003379024,0.0
refrigeration,test_utility_1,test_utility_1,multi_family,6,0.0,-2376.335393938727,2376.335393938727,0.0,0.0,-796.1488360114984,796.1488360114981,0.0,0.0,-220.11451732703352,220.11451732703347,0.0
refrigeration,test_utility_1,test_utility_1,multi_family,7,0.0,-2574.067725178277,2574.0677251782768,0.0,0.0,-938.5373060900631,938.5373060900632,0.0,0.0,-271.56859582597906,271.56859582597906,0.0
refrigeration,test_utility_1,test_utility_1,multi_family,8,0.0,-2738.9514717615575,2738.9514717615575,0.0,0.0,-1064.3267535061636,1064.3267535061639,0.0,0.0,-318.0124893685069,318.012489368507,0.0
refrigeration,test_utility_1,test_utility_1,multi_family,9,0.0,-2876.5221851861265,2876.522185186127,0.0,0.0,-1173.8243845804318,1173.8243845804316,0.0,0.0,-359.04330894944917,359.0433089494491,0.0
refrigeration,test_utility_1,test_utility_1,multi_family,10,0.0,-2991.3750385741187,2991.3750385741187,0.0,0.0,-1268.1514380941205,1268.1514380941203,0.0,0.0,-394.7611526121171,394.76115261211703,0.0
refrigeration,test_utility_1,test_utility_1,multi_family,11,0.0,-3087.3295455416187,3087.329545541619,0.0,0.0,-1348.8037313238683,1348.8037313238683,0.0,0.0,-425.5316385891258,425.5316385891258,0.0
refrigeration,test_utility_1,test_utility_1,multi_family,12,0.0,-3167.562181012257,3167.562181012257,0.0,0.0,-1417.3923756041572,1417.3923756041572,0.0,0.0,-451.8425606619743,451.84256066197435,0.0
refrigeration,test_utility_1,test_utility_1,multi_family,13,0.0,-3234.71521129731,3234.71521129731,0.0,0.0,-1475.4967051051476,1475.4967051051476,0.0,0.0,-474.219320056402,474.2193200564019,0.0
refrigeration,test_utility_1,test_utility_1,multi_family,14,0.0,-3290.9867279724913,3290.986727972491,0.0,0.0,-1524.586450803928,1524.5864508039283,0.0,0.0,-493.1769589091107,493.17695890911074,0.0
refrigeration,test_utility_1,test_utility_1,multi_family,15,0.0,-3338.2053808224136,3338.205380822414,0.0,0.0,-1565.9859562475106,1565.9859562475103,0.0,0.0,-509.1947781797102,509.19477817971017,0.0
