competition_group,electric_utility,gas_utility,building_type,time,remaining_below_baseline_stock,remaining_baseline_stock,remaining_efficient_stock,remaining_top10_stock,ret_er_below_baseline_stock,ret_er_baseline_stock,ret_er_efficient_stock,ret_er_top10_stock,rob_below_baseline_stock,rob_baseline_stock,rob_efficient_stock,rob_top10_stock
refrigeration,test_utility_1,test_utility_1,multi_family,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multi_family,1,0.0,-598.9999999999999,0.0,598.9999999999999,0.0,-23.960000000000036,0.0,23.960000000000036,0.0,-11.980000000000018,0.0,11.980000000000018
refrigeration,test_utility_1,test_utility_1,multi_family,2,0.0,-1098.3377970693264,0.0,1098.3377970693264,0.0,-139.161155703951,0.0,139.16115570395107,0.0,-19.74717084960031,0.0,19.747170849600337
refrigeration,test_utility_1,test_utility_1,multi_family,3,0.0,-1511.4352327128004,0.0,1511.4352327128004,0.0,-297.3442335307886,0.0,297.3442335307886,0.0,-57.29645540746765,0.0,57.296455407467676
refrigeration,test_utility_1,test_utility_1,multi_family,4,0.0,-1854.116368155843,0.0,1854.116368155843,0.0,-469.24689119473226,0.0,469.2468911947321,0.0,-108.879987745318,0.0,108.87998774531796
refrigeration,test_utility_1,test_utility_1,multi_family,5,0.0,-2139.0652883011367,0.0,2139.0652883011367,0.0,-638.3960591841858,0.0,638.3960591841858,0.0,-164.94488003379033,0.0,164.94488003379024
refrigeration,test_utility_1,test_utility_1,multi_family,6,0.0,-2376.335393938727,0.0,2376.335393938727,0.0,-796.1488360114984,0.0,796.1488360114984,0.0,-220.11451732703352,0.0,220.11451732703347
refrigeration,test_utility_1,test_utility_1,multi_family,7,0.0,-2574.067725178277,0.0,2574.067725178277,0.0,-938.5373060900631,0.0,938.5373060900631,0.0,-271.56859582597906,0.0,271.56859582597906
refrigeration,test_utility_1,test_utility_1,multi_family,8,0.0,-2738.9514717615575,0.0,2738.9514717615575,0.0,-1064.3267535061636,0.0,1064.3267535061636,0.0,-318.0124893685069,0.0,318.0124893685069
refrigeration,test_utility_1,test_utility_1,multi_family,9,0.0,-2876.5221851861265,0.0,2876.5221851861265,0.0,-1173.8243845804318,0.0,1173.8243845804316,0.0,-359.04330894944917,0.0,359.0433089494491
refrigeration,test_utility_1,test_utility_1,multi_family,10,0.0,-2991.3750385741187,0.0,2991.3750385741187,0.0,-1268.1514380941205,0.0,1268.1514380941207,0.0,-394.7611526121171,0.0,394.76115261211714
refrigeration,test_utility_1,test_utility_1,multi_family,11,0.0,-3087.3295455416187,0.0,3087.3295455416187,0.0,-1348.8037313238683,0.0,1348.8037313238683,0.0,-425.5316385891258,0.0,425.53163858912586
refrigeration,test_utility_1,test_utility_1,multi_family,12,0.0,-3167.562181012257,0.0,3167.562181012257,0.0,-1417.3923756041572,0.0,1417.3923756041577,0.0,-451.8425606619743,0.0,451.84256066197435
refrigeration,test_utility_1,test_utility_1,multi_family,13,0.0,-3234.71521129731,0.0,3234.71521129731,0.0,-1475.4967051051476,0.0,1475.4967051051478,0.0,-474.219320056402,0.0,474.2193200564021
refrigeration,test_utility_1,test_utility_1,multi_family,14,0.0,-3290.9867279724913,0.0,3290.9867279724913,0.0,-1524.586450803928,0.0,1524.5864508039283,0.0,-493.1769589091107,0.0,493.17695890911074
refrigeration,test_utility_1,test_utility_1,multi_family,15,0.0,-3338.2053808224136,0.0,3338.205380822414,0.0,-1565.9859562475106,0.0,1565.9859562475106,0.0,-509.1947781797102,0.0,509.19477817971017
refrigeration,test_utility_1,test_utility_1,multi_family,16,0.0,-3377.8924942353724,0.0,3377.8924942353724,0.0,-1600.8632705039051,0.0,1600.8632705039051,0.0,-522.7046669801076,0.0,522.7046669801075
refrigeration,test_utility_1,test_utility_1,multi_family,17,0.0,-3411.3137252019005,0.0,3411.3137252019005,0.0,-1630.2333684775017,0.0,1630.2333684775015,0.0,-534.0875451265761,0.0,534.0875451265761
refrigeration,test_utility_1,test_utility_1,multi_family,18,0.0,-3439.5220332278323,0.0,3439.5220332278323,0.0,-1654.9688458498517,0.0,1654.9688458498515,0.0,-543.6744130283867,0.0,543.6744130283864
refrigeration,test_utility_1,test_utility_1,multi_family,19,0.0,-3463.3934265441303,0.0,3463.3934265441303,0.0,-1675.814043880778,0.0,1675.814043880778,0.0,-551.7498392706224,0.0,551.7498392706225
refrigeration,test_utility_1,test_utility_1,single_family,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,single_family,1,0.0,-4999.000000000001,0.0,4999.000000000001,0.0,-199.95999999999958,0.0,199.95999999999958,0.0,-99.97999999999979,0.0,99.97999999999979
refrigeration,test_utility_1,test_utility_1,single_family,2,0.0,-9165.000536870015,0.0,9165.000536870015,0.0,-1163.4810773354675,0.0,1163.4810773354675,0.0,-165.240529847262,0.0,165.240529847262
refrigeration,test_utility_1,test_utility_1,single_family,3,0.0,-12633.641124919071,0.0,12633.641124919071,0.0,-2487.0101108581716,0.0,2487.0101108581725,0.0,-479.9077537893288,0.0,479.9077537893288
refrigeration,test_utility_1,test_utility_1,single_family,4,0.0,-15522.597691757397,0.0,15522.597691757397,0.0,-3929.5279893078728,0.0,3929.5279893078728,0.0,-912.1710753738307,0.0,912.1710753738312
refrigeration,test_utility_1,test_utility_1,single_family,5,0.0,-17929.4325141637,0.0,17929.4325141637,0.0,-5353.189140719853,0.0,5353.189140719853,0.0,-1383.3033567124176,0.0,1383.303356712417
refrigeration,test_utility_1,test_utility_1,single_family,6,0.0,-19934.931342150165,0.0,19934.931342150165,0.0,-6684.200668264117,0.0,6684.200668264115,0.0,-1848.279595327202,0.0,1848.279595327202
refrigeration,test_utility_1,test_utility_1,single_family,7,0.0,-21606.17896890856,0.0,21606.17896890856,0.0,-7887.81909388996,0.0,7887.819093889961,0.0,-2282.997257768577,0.0,2282.997257768576
refrigeration,test_utility_1,test_utility_1,single_family,8,0.0,-22998.984377380773,0.0,22998.984377380773,0.0,-8952.527259499257,0.0,8952.527259499257,0.0,-2676.108486251625,0.0,2676.1084862516254
refrigeration,test_utility_1,test_utility_1,single_family,9,0.0,-24159.81623526862,0.0,24159.81623526862,0.0,-9880.101352297559,0.0,9880.10135229756,0.0,-3023.851557377652,0.0,3023.8515573776517
refrigeration,test_utility_1,test_utility_1,single_family,10,0.0,-25127.380585603907,0.0,25127.380585603907,0.0,-10679.444668692198,0.0,10679.444668692198,0.0,-3326.806505607326,0.0,3326.806505607326
refrigeration,test_utility_1,test_utility_1,single_family,11,0.0,-25933.92260155122,0.0,25933.92260155122,0.0,-11362.822531432139,0.0,11362.822531432139,0.0,-3587.88113417166,0.0,3587.88113417166
refrigeration,test_utility_1,test_utility_1,single_family,12,0.0,-26606.30674168783,0.0,26606.30674168783,0.0,-11943.619782969423,0.0,11943.619782969421,0.0,-3811.0813040373287,0.0,3811.081304037328
refrigeration,test_utility_1,test_utility_1,single_family,13,0.0,-27166.91519449526,0.0,27166.91519449526,0.0,-12435.055943666466,0.0,12435.055943666468,0.0,-4000.7785181741338,0.0,4000.778518174134
refrigeration,test_utility_1,test_utility_1,single_family,14,0.0,-27634.395925603858,0.0,27634.395925603858,0.0,-12849.495653609933,0.0,12849.495653609933,0.0,-4161.290287128617,0.0,4161.290287128617
