competition_group,electric_utility,gas_utility,building_type,time,total_stock,ret_er_stock,remaining_stock,rob_stock,remaining_below_baseline_stock,remaining_baseline_stock,remaining_efficient_stock,remaining_top10_stock,ret_er_below_baseline_stock,ret_er_baseline_stock,ret_er_efficient_stock,ret_er_top10_stock,rob_below_baseline_stock,rob_baseline_stock,rob_efficient_stock,rob_top10_stock,ret_er_below_baseline_flow,ret_er_baseline_flow,ret_er_efficient_flow,ret_er_top10_flow,rob_below_baseline_flow,rob_baseline_flow,rob_efficient_flow,rob_top10_flow,remaining_below_baseline_flow,remaining_baseline_flow,remaining_efficient_flow,remaining_top10_flow,remaining_baseline_flow_2,remaining_efficient_flow_2,remaining_top10_flow_2
refrigeration,test_utility_1,test_utility_1,multifamily,0,30000.0,9000.0,18000.0,3000.0,3600.0,4500.0,5400.0,4500.0,1800.0,2250.0,2700.0,2250.0,600.0,750.0,900.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multifamily,1,30000.0,9000.0,18000.0,3000.0,3000.0,6750.0,4500.0,3750.0,1776.0,2340.0,2664.0,2220.0,588.0,795.0,882.0,735.0,36.0,-135.0,54.0,45.0,600.0,-2250.0,900.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multifamily,2,30000.0,9000.0,18000.0,2999.9999999999995,2500.0,8625.0,3750.0,3125.0,1660.32,2773.7999999999997,2490.4799999999996,2075.3999999999996,580.16,824.3999999999999,870.2399999999999,725.1999999999999,35.51999999999998,-133.19999999999982,53.2800000000002,44.40000000000009,588.0,-2205.0,882.0,735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multifamily,3,30000.0,8999.999999999998,18000.0,2999.9999999999995,2083.3333333333335,10187.5,3125.0,2604.166666666667,1501.4090666666666,3369.7159999999994,2252.1135999999997,1876.761333333333,542.3711999999999,966.1079999999998,813.5567999999998,677.9639999999998,33.20640000000003,-124.52399999999989,49.809600000000046,41.50800000000004,580.16,-2175.5999999999995,870.2399999999999,725.1999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multifamily,4,30000.0,8999.999999999998,18000.000000000004,2999.999999999999,1736.1111111111113,11489.583333333334,2604.166666666667,2170.138888888889,1328.1428124444444,4019.4644533333326,1992.2142186666663,1660.1785155555554,490.46029511111107,1160.773893333333,735.6904426666665,613.0753688888888,30.02818133333335,-112.60568000000012,45.04227200000014,37.53522666666663,542.3711999999999,-2033.8919999999998,813.5567999999998,677.9639999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multifamily,5,29999.999999999996,8999.999999999998,18000.0,2999.999999999999,1446.7592592592596,12574.652777777777,2170.138888888889,1808.4490740740744,1157.0718226488889,4660.980665066666,1735.607733973333,1446.3397783111109,433.85998539851846,1373.0250547555552,650.7899780977776,542.324981748148,26.56285624888892,-99.61071093333294,39.84428437333327,33.20357031111121,490.46029511111107,-1839.226106666666,735.6904426666665,613.0753688888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multifamily,6,30000.0,8999.999999999998,18000.0,2999.9999999999995,1205.6327160493831,13478.877314814814,1808.4490740740744,1507.0408950617286,997.0801340071506,5260.949497473184,1495.6202010107256,1246.3501675089383,377.976795398637,1582.5870172551108,566.9651930979554,472.4709942482962,23.141436452977814,-86.78038669866692,34.71215467946672,28.926795566222154,433.85998539851846,-1626.974945244444,650.7899780977776,542.324981748148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multifamily,7,30000.0,8999.999999999998,18000.0,2999.9999999999995,1004.6939300411526,14232.39776234568,1507.0408950617286,1255.8674125514406,852.3644735595689,5803.633224151616,1278.546710339353,1065.4555919494612,325.71284377566917,1778.5768358412402,488.56926566350364,407.1410547195865,19.941602680142978,-74.78101005053668,29.91240402021458,24.927003350178666,377.976795398637,-1417.4129827448887,566.9651930979554,472.4709942482962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multifamily,8,30000.0,9000.0,18000.0,2999.9999999999995,837.2449417009606,14860.3314686214,1255.8674125514406,1046.5561771262005,724.327111065777,6283.773333503335,1086.4906665986653,905.4088888322215,278.4390613627925,1955.853519889528,417.6585920441886,348.0488267034907,17.047289471191334,-63.927335516968014,25.570934206787115,21.30911183898911,325.71284377566917,-1221.4231641587594,488.56926566350364,407.1410547195865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multifamily,9,29999.999999999996,8999.999999999998,18000.0,2999.999999999999,697.7041180841338,15383.6095571845,1046.5561771262005,872.1301476051672,612.7678695131344,6702.120489325745,919.1518042697014,765.959836891418,236.61352294815381,2112.6992889444227,354.9202844222307,295.76690368519235,14.486542221315517,-54.32453332993373,21.72981333197322,18.108177776644425,278.4390613627925,-1044.1464801104717,417.6585920441886,348.0488267034907,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multifamily,10,30000.0,9000.0,18000.0,2999.999999999999,581.4200984034449,15819.674630987083,872.1301476051672,726.775123004306,516.6256944292701,7062.6536458902365,774.938541643905,645.7821180365876,200.17083737429056,2249.35935984641,300.2562560614358,250.2135467178632,12.255357390262702,-45.957590213484764,18.383036085393996,15.319196737828406,236.61352294815381,-887.3007110555764,354.9202844222307,295.76690368519235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multifamily,11,30000.0,8999.999999999998,18000.000000000004,2999.9999999999995,484.5167486695374,16183.062192489237,726.775123004306,605.6459358369217,434.43213676103056,7370.879487146134,651.6482051415458,543.0401709512881,168.76439351356154,2367.1335243241438,253.14659027034227,210.9554918919519,10.332513888585424,-38.746927082195725,15.498770832878108,12.915642360731795,200.17083737429056,-750.6406401535892,300.2562560614358,250.2135467178632,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multifamily,12,29999.999999999996,8999.999999999998,18000.0,2999.999999999999,403.7639572246145,16485.885160407695,605.6459358369217,504.7049465307681,364.58178746212945,7632.818297017013,546.8726811931942,455.72723432766185,141.9144980086033,2467.8206324677367,212.87174701290496,177.39312251075413,8.68864273522064,-32.582410257076845,13.032964102830874,10.860803419025729,168.76439351356154,-632.8664756758558,253.14659027034227,210.9554918919519,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multifamily,13,29999.999999999996,9000.0,17999.999999999996,2999.999999999999,336.46996435384546,16738.237633673078,504.7049465307681,420.58745544230675,305.48742734602695,7854.422147452397,458.2311410190405,381.8592841825337,119.09671723762895,2553.3873103588908,178.64507585644344,148.87089654703618,7.291635749242573,-27.343634059659962,10.937453623863917,9.114544686553245,141.9144980086033,-532.1793675322624,212.87174701290496,177.39312251075413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multifamily,14,29999.999999999993,8999.999999999998,17999.999999999996,2999.9999999999995,280.39163696153787,16948.53136139423,420.58745544230675,350.4895462019223,255.66344659171187,8041.262075281079,383.4951698875678,319.57930823963983,99.79255959970214,2625.7779015011165,149.68883939955322,124.74069949962768,6.109748546920514,-22.91155705095207,9.164622820380828,7.637185683650671,119.09671723762895,-446.6126896411083,178.64507585644344,148.87089654703618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multifamily,15,29999.999999999993,8999.999999999998,17999.999999999996,2999.9999999999995,233.65969746794823,17123.77613449519,350.4895462019223,292.0746218349353,213.7653912668414,8198.379782749344,320.64808690026206,267.2067390835517,83.51672588662588,2686.8122779251526,125.27508882993881,104.39590735828234,5.113268931834227,-19.174758494378693,7.669903397751341,6.391586164792784,99.79255959970214,-374.22209849888304,149.68883939955322,124.74069949962768,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multifamily,16,29999.999999999993,8999.999999999998,17999.999999999996,2999.9999999999995,194.71641455662353,17269.81344541266,292.0746218349353,243.3955181957794,178.6033385389944,8330.237480478769,267.9050078084916,223.254173173743,69.83002781383485,2738.137395698119,104.74504172075225,87.28753476729356,4.275307825336824,-16.032404345012765,6.412961738005265,5.344134781671016,83.51672588662588,-313.187722074847,125.27508882993881,104.39590735828234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multifamily,17,29999.999999999993,8999.999999999998,17999.999999999996,2999.9999999999986,162.2636787971863,17391.51120451055,243.3955181957794,202.82959849648284,149.14025027158024,8440.724061481571,223.71037540737035,186.4253128394753,58.3437572560715,2781.2109102897307,87.51563588410724,72.92969657008938,3.572066770779884,-13.395250390423826,5.358100156169826,4.465083463474855,69.83002781383485,-261.86260430188076,104.74504172075225,87.28753476729356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multifamily,18,29999.999999999993,8999.999999999995,18000.0,2999.9999999999986,135.2197323309886,17492.926003758792,202.82959849648284,169.0246654137357,124.4822433102968,8533.191587586383,186.72336496544517,155.602804137871,48.71914842204954,2817.3031934173127,73.0787226330743,60.89893552756193,2.982805005431601,-11.185518770367707,4.474207508147401,3.728506256789501,58.3437572560715,-218.78908971026794,87.51563588410724,72.92969657008938,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multifamily,19,29999.999999999993,8999.999999999996,18000.0,2999.999999999998,112.68311027582384,17577.43833646566,169.0246654137357,140.85388784477976,103.86502101789199,8610.506171182902,155.797531526838,129.831276272365,40.66419948136362,2847.509251944885,60.99629922204542,50.83024935170452,2.4896448662059356,-9.33616824827186,3.7344672993089034,3.1120560827574195,48.71914842204954,-182.6968065826859,73.0787226330743,60.89893552756193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,single_family,0,50000.0,15000.0,30000.0,5000.0,6000.0,7500.0,9000.0,7500.0,3000.0,3750.0,4500.0,3750.0,1000.0,1250.0,1500.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,single_family,1,50000.0,14999.666666666668,30002.666666666668,4997.666666666666,4999.444444444444,11248.75,7499.166666666667,6255.305555555556,2959.342222222222,3899.133333333333,4439.013333333333,3702.177777777778,979.3466666666667,1324.1166666666666,1469.02,1225.1833333333334,60.0,-225.0,90.0,75.0,1000.0,-3750.0,1500.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,single_family,2,50000.0,14999.888888888887,30002.555555555555,4997.555555555556,4165.740790466576,14370.028146863508,6248.611185699865,5218.175432525607,2766.0628511099144,4621.19385499474,4149.094276664872,3463.5379061193607,966.0739659643464,1372.7988365371084,1449.1109489465198,1209.5718041075809,59.18684444444443,-222.01066666666702,88.78026666666665,74.04355555555549,979.3466666666667,-3673.5499999999993,1469.02,1225.1833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,single_family,3,50000.0,15000.018518518516,30002.351851851854,4997.629629629629,3471.0649379346014,16970.693149372873,5206.597406901904,4353.996357642475,2500.8953294651665,5612.935627924045,3751.34299419775,3134.8445669315547,902.9781398795045,1608.5161844409658,1354.4672098192568,1131.6680954899016,55.3212570221981,-207.5739006778831,82.98188553329737,69.27075812238718,966.0739659643464,-3624.7567190184473,1449.1109489465198,1209.5718041075809,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,single_family,4,50000.0,15000.07098765432,30002.256172839505,4997.672839506172,2892.232715646093,19137.747239016167,4338.34907346914,3633.9271447081046,2211.9374672461026,6694.079185035798,3317.906200869154,2776.1481345032644,816.4145022037088,1932.2700574398857,1224.6217533055633,1024.366526557014,50.01790658930349,-187.74165781188913,75.02685988395478,62.6968913386313,902.9781398795045,-3389.113445188663,1354.4672098192568,1131.6680954899016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,single_family,5,49999.999999999985,15000.090020576128,30002.219650205756,4997.690329218106,2409.9261263891385,20943.46819339218,3614.8891895837087,3033.936140840733,1926.7430163474965,7761.365471348637,2890.114524521244,2421.8670083587513,722.084530753884,2285.2085255726606,1083.1267961308258,907.2704767607356,44.23874934492187,-166.11983605237037,66.35812401738303,55.52296269006547,816.4145022037088,-3065.402782066286,1224.6217533055633,1024.366526557014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,single_family,6,49999.99999999999,15000.096622085044,30002.206704389573,4997.696673525375,2008.048627261678,22448.085943188293,3012.0729408925176,2533.999193047084,1660.0908112567324,8759.39109892482,2490.1362168850983,2090.4784950183944,628.9831193792378,2633.623077996632,943.4746790688565,791.6157970806491,38.53486032694991,-144.77449098454963,57.802290490425094,48.43734016717508,722.084530753884,-2712.4818036454453,1083.1267961308258,907.2704767607356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,single_family,7,50000.0,15000.098865454958,30002.20226051669,4997.698874028349,1673.1879227446623,23701.80109263621,2509.781884116994,2117.431361018822,1418.952050888671,9662.003602860617,2128.428076333006,1790.7151353726647,541.9348031181906,2959.427481355476,812.9022046772858,683.4343848773957,33.201816225134735,-124.814110463205,49.802724337701875,41.80956990036793,628.9831193792378,-2364.073595528743,943.4746790688565,791.6157970806491,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,single_family,8,49999.99999999999,15000.09962038942,30002.200757792256,4997.699621818319,1394.1683417401582,24746.449830763755,2091.252512610238,1770.330072678105,1205.645354033361,10460.485518950953,1808.4680310500412,1525.500716355065,463.2153224359386,3254.0843468992107,694.8229836539078,585.5769688292622,28.37904101777349,-106.76190525188758,42.56856152666023,35.81430270745318,541.9348031181906,-2038.2713926728725,812.9022046772858,683.4343848773957,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,single_family,9,50000.0,15000.099873224988,30002.20025331187,4997.69987346314,1161.677859781857,25616.894465291825,1742.5167896727864,1481.1111385653999,1019.8230170963493,11156.1138899471,1529.7345256445237,1294.4284405370151,393.5815879620038,3514.7478874984367,590.3723819430057,498.9980160596938,24.112907080667128,-90.79228202876948,36.169360621000806,30.510014327101317,463.2153224359386,-1743.6152749191087,694.8229836539078,585.5769688292622,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,single_family,10,50000.0,15000.09995770197,30002.200084556367,4997.699957741663,967.9573187138315,26342.184647687125,1451.935978070748,1240.1221400846614,859.7062650200436,11755.531971694738,1289.5593975300653,1095.3023234571224,332.92009227316254,3741.8349990223473,499.3801384097438,423.56472803640906,20.396460341926968,-76.87971966555779,30.594690512890566,25.888568810740253,393.5815879620038,-1482.951985964703,590.3723819430057,498.9980160596938,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,single_family,11,50000.0,15000.09998589404,30002.2000282053,4997.6999859006555,806.5414718564197,26946.526059737218,1209.81220778463,1039.320288827032,722.8403173555811,12267.919597365479,1084.2604760333716,925.0795951396077,280.6501562342397,3937.514367235527,420.9752343513596,358.56022807952945,17.194125300400856,-64.89135972014446,25.791187950601397,21.90604646914244,332.92009227316254,-1255.8649587193154,499.3801384097438,423.56472803640906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,single_family,12,49999.999999999985,15000.099995296905,30002.20000940507,4997.699995298012,672.0432122860905,27450.087972857684,1008.0648184291362,872.0040058321604,606.5444389312595,12703.306310544234,909.8166583968891,780.432587424523,235.97041949412326,4104.782739252716,353.95562924118485,302.99120730998817,14.456806347111637,-54.64360777057118,21.685209520667513,18.501591902792143,280.6501562342397,-1060.1856186651285,420.9752343513596,358.56022807952945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,single_family,13,49999.999999999985,15000.099998432115,30002.200003135575,4997.699998432301,559.9737830470768,27869.676283025383,839.9606745706157,732.5892624924986,508.16995365634943,13071.60408902339,762.2549304845239,658.0710252678504,198.00575903140958,4246.91424870335,297.00863854711423,255.77135215042782,12.130888778625149,-45.93587369505258,18.196333167937837,15.608651748490502,235.97041949412326,-892.9172560452962,353.95562924118485,302.99120730998817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,single_family,14,49999.99999999999,15000.099999477337,30002.200001045283,4997.699999477371,466.5929689749838,28219.294359925043,699.889453462476,616.4232186827788,425.2388177752109,13382.08767967104,637.8582266628164,554.9152753682697,165.89151747560442,4367.144649824298,248.83727621340657,215.82655596406195,10.163399073126982,-38.56991818817369,15.245098609690444,13.161420505357,198.00575903140958,-750.7857497289515,297.00863854711423,255.77135215042782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,single_family,15,49999.99999999999,15000.099999825772,30002.200000348443,4997.699999825779,388.78427042107955,28510.61038583858,583.1764056316197,519.6289384571647,355.50917179411016,13643.148613632453,533.2637576911653,468.1784567080425,138.81874019251873,4468.501673467393,208.22811028877808,182.15147587708867,8.504776355504191,-32.36024639612515,12.757164533256287,11.098305507365353,165.89151747560442,-630.5553496530738,248.83727621340657,215.82655596406195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,single_family,16,49999.99999999999,15000.09999994192,30002.20000011615,4997.699999941923,323.9508929140229,28753.346766989165,485.9263393710346,438.97600084192453,296.997358466985,13862.212404554959,445.49603770047764,395.39419921949985,116.05557463813868,4553.7247256728015,174.083361957208,153.8363376737753,7.11018343588222,-27.139027723866093,10.665275153823359,9.363569134160855,138.81874019251873,-529.1983263583861,208.22811028877808,182.15147587708867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,single_family,17,49999.999999999985,15000.099999980637,30002.200000038712,4997.69999998064,269.9290815087017,28955.604608790305,404.89362226305275,371.77268747665346,247.974973478639,14045.749350942746,371.9624602179586,334.41321534129327,96.95445810567533,4625.237857134084,145.43168715851303,130.07599758236734,5.939947169339689,-22.757751907738566,8.909920754009534,7.9078839843900255,116.05557463813868,-443.97527426912166,174.083361957208,153.8363376737753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
