competition_group,electric_utility,gas_utility,building_type,time,remaining_below_baseline_stock,remaining_baseline_stock,remaining_efficient_stock,remaining_top10_stock,ret_er_below_baseline_stock,ret_er_baseline_stock,ret_er_efficient_stock,ret_er_top10_stock,rob_below_baseline_stock,rob_baseline_stock,rob_efficient_stock,rob_top10_stock
refrigeration,test_utility_1,test_utility_1,multifamily,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multifamily,1,0.0,-3000.0,0.0,3000.0,0.0,-120.0,0.0,120.0,0.0,-60.0,0.0,60.0
refrigeration,test_utility_1,test_utility_1,multifamily,2,0.0,-5500.0,0.0,5500.0,0.0,-698.4000000000001,0.0,698.4000000000001,0.0,-99.19999999999993,0.0,99.19999999999993
refrigeration,test_utility_1,test_utility_1,multifamily,3,0.0,-7583.333333333333,0.0,7583.333333333333,0.0,-1492.9546666666665,0.0,1492.9546666666665,0.0,-288.144,0.0,288.144
refrigeration,test_utility_1,test_utility_1,multifamily,4,0.0,-9319.444444444445,0.0,9319.444444444445,0.0,-2359.2859377777772,0.0,2359.2859377777772,0.0,-547.6985244444443,0.0,547.6985244444443
refrigeration,test_utility_1,test_utility_1,multifamily,5,0.0,-10766.203703703703,0.0,10766.203703703703,0.0,-3214.640886755555,0.0,3214.640886755555,0.0,-830.7000730074071,0.0,830.7000730074071
refrigeration,test_utility_1,test_utility_1,multifamily,6,0.0,-11971.836419753085,0.0,11971.836419753085,0.0,-4014.599329964246,0.0,4014.599329964246,0.0,-1110.1160230068147,0.0,1110.1160230068147
refrigeration,test_utility_1,test_utility_1,multifamily,7,0.0,-12976.530349794239,0.0,12976.530349794239,0.0,-4738.177632202154,0.0,4738.177632202154,0.0,-1371.4357811216537,0.0,1371.4357811216537
refrigeration,test_utility_1,test_utility_1,multifamily,8,0.0,-13813.7752914952,0.0,13813.7752914952,0.0,-5378.364444671114,0.0,5378.364444671114,0.0,-1607.8046931860372,0.0,1607.8046931860372
refrigeration,test_utility_1,test_utility_1,multifamily,9,0.0,-14511.479409579333,0.0,14511.479409579333,0.0,-5936.160652434328,0.0,5936.160652434328,0.0,-1816.9323852592304,0.0,1816.9323852592304
refrigeration,test_utility_1,test_utility_1,multifamily,10,0.0,-15092.899507982776,0.0,15092.899507982776,0.0,-6416.871527853649,0.0,6416.871527853649,0.0,-1999.1458131285467,0.0,1999.1458131285467
refrigeration,test_utility_1,test_utility_1,multifamily,11,0.0,-15577.416256652315,0.0,15577.416256652315,0.0,-6827.839316194846,0.0,6827.839316194846,0.0,-2156.1780324321917,0.0,2156.1780324321917
refrigeration,test_utility_1,test_utility_1,multifamily,12,0.0,-15981.180213876927,0.0,15981.180213876927,0.0,-7177.091062689351,0.0,7177.091062689351,0.0,-2290.4275099569827,0.0,2290.4275099569827
refrigeration,test_utility_1,test_utility_1,multifamily,13,0.0,-16317.650178230771,0.0,16317.650178230771,0.0,-7472.562863269864,0.0,7472.562863269864,0.0,-2404.5164138118544,0.0,2404.5164138118544
refrigeration,test_utility_1,test_utility_1,multifamily,14,0.0,-16598.041815192308,0.0,16598.041815192308,0.0,-7721.68276704144,0.0,7721.68276704144,0.0,-2501.037202001489,0.0,2501.037202001489
refrigeration,test_utility_1,test_utility_1,multifamily,15,0.0,-16831.701512660256,0.0,16831.701512660256,0.0,-7931.173043665792,0.0,7931.173043665792,0.0,-2582.4163705668702,0.0,2582.4163705668702
refrigeration,test_utility_1,test_utility_1,multifamily,16,0.0,-17026.41792721688,0.0,17026.41792721688,0.0,-8106.983307305026,0.0,8106.983307305026,0.0,-2650.8498609308253,0.0,2650.8498609308253
refrigeration,test_utility_1,test_utility_1,multifamily,17,0.0,-17188.681606014066,0.0,17188.681606014066,0.0,-8254.298748642095,0.0,8254.298748642095,0.0,-2708.2812137196415,0.0,2708.2812137196415
refrigeration,test_utility_1,test_utility_1,multifamily,18,0.0,-17323.901338345055,0.0,17323.901338345055,0.0,-8377.588783448513,0.0,8377.588783448513,0.0,-2756.4042578897506,0.0,2756.4042578897506
refrigeration,test_utility_1,test_utility_1,multifamily,19,0.0,-17436.58444862088,0.0,17436.58444862088,0.0,-8480.674894910537,0.0,8480.674894910537,0.0,-2796.6790025931805,0.0,2796.6790025931805
